variable	value	setting_type	public	description	default_value	origin
jobs.debug.pausepoints		s	f	the list, comma separated, of named pausepoints currently enabled for debugging		default
jobs.metrics.interval.poll	30s	d	f	the interval at which a node in the cluster will poll the jobs table for metrics	30s	default
jobs.registry.claim_query.select_for_update.enabled	true	b	f	when true, uses SELECT FOR UPDATE in the claim loop to prevent deadlock; when false, uses the legacy single-query UPDATE RETURNING approach	true	default
jobs.registry.claim_query.timeout	1m0s	d	f	the timeout for the claim query used when adopting jobs	1m0s	default
jobs.registry.interval.adopt	30s	d	f	the interval at which a node (a) claims some of the pending jobs and (b) restart its already claimed jobs that are in running or reverting states but are not running	30s	default
jobs.registry.interval.base	1	f	f	the base multiplier for other intervals such as adopt, cancel, and gc	1	default
jobs.registry.interval.cancel	10s	d	f	the interval at which a node cancels the jobs belonging to the known dead sessions	10s	default
jobs.registry.interval.gc	1h0m0s	d	f	the interval a node deletes expired job records that have exceeded their retention duration	1h0m0s	default
jobs.registry.max_adoptions_per_loop	10	i	f	the maximum number of jobs a node can adopt in one adoption loop	10	default
jobs.retained_messages	100	i	f	number of historical messages of each kind to retain per job	100	default
jobs.retained_progress_entries	1000	i	f	number of historical progress entries to retain per job	1000	default
jobs.retention_time	336h0m0s	d	t	the amount of time for which records for completed jobs are retained	336h0m0s	default
jobs.scheduler.enabled	true	b	f	enable/disable job scheduler	true	default
jobs.scheduler.max_jobs_per_iteration	5	i	f	how many schedules to start per iteration; setting to 0 turns off this limit	5	default
jobs.scheduler.pace	1m0s	d	f	how often to scan system.scheduled_jobs table	1m0s	default
jobs.scheduler.schedule_execution.timeout	30s	d	f	sets a timeout on for schedule execution; 0 disables timeout	30s	default
keyvisualizer.enabled	false	b	f	enable the use of the key visualizer	false	default
keyvisualizer.max_buckets	256	i	f	the maximum number of buckets in a sample	256	default
keyvisualizer.sample_interval	5m0s	d	f	the frequency at which the key visualizer samples are collected	5m0s	default
kv.allocator.disk_unhealthy_io_overload_score	0.4	f	f	the IO overload score to assign to a store when its disk is unhealthy	0.4	default
kv.allocator.lease_io_overload_threshold	0.3	f	f	a store will not receive new leases when its IO overload score is at or above this value and `kv.allocator.io_overload_threshold` is `shed` or `block_transfer_to`	0.3	default
kv.allocator.lease_io_overload_threshold_enforcement	shed	e	f	the level of enforcement on lease transfers when a candidate store has anio overload score exceeding `kv.allocator.io_overload_threshold_lease` and above the average of comparable allocation candidates:`ignore` disable enforcement, `block_transfer_to` a store will receive no new leases but won't lose existing leases,`shed`: a store will receive no new leases and shed existing leases to non io-overloaded stores, this is a superset of block_transfer_to [ignore = 0, block_transfer_to = 1, shed = 3]	shed	default
kv.allocator.lease_rebalance_threshold	0.05	f	t	minimum fraction away from the mean a store's lease count can be before it is considered for lease-transfers	0.05	default
kv.allocator.lease_rebalancing_aggressiveness	1	f	f	set greater than 1.0 to rebalance leases toward load more aggressively, or between 0 and 1.0 to be more conservative about rebalancing leases	1	default
kv.allocator.lease_shed_io_overload_threshold	0.4	f	f	a store will shed its leases and receive no new leases when its IO overload score is at or above this value and `kv.allocator.lease_io_overload_threshold_enforcement` is `shed`	0.4	default
kv.allocator.load_based_lease_rebalancing.enabled	true	b	t	set to enable rebalancing of range leases based on load and latency	true	override
kv.allocator.load_based_rebalancing	leases and replicas	e	t	whether to rebalance based on the distribution of load across stores [off = 0, leases = 1, leases and replicas = 2, multi-metric only = 3, multi-metric and count = 4]	leases and replicas	default
kv.allocator.load_based_rebalancing.objective	cpu	e	t	what objective does the cluster use to rebalance; if set to `qps` the cluster will attempt to balance qps among stores, if set to `cpu` the cluster will attempt to balance cpu usage among stores [qps = 0, cpu = 1]	cpu	default
kv.allocator.load_based_rebalancing_interval	1m0s	d	t	the rough interval at which each store will check for load-based lease / replica rebalancing opportunities	1m0s	default
kv.allocator.max_disk_utilization_threshold	0.95	f	f	maximum disk utilization before a store will never be used as a rebalance or allocation target and will actively have replicas moved off of it; this should be set higher than `kv.allocator.rebalance_to_max_disk_utilization_threshold`	0.95	default
kv.allocator.min_io_overload_lease_shed_interval	30s	d	f	controls how frequently all leases can be shed from a node due to the node becoming IO overloaded	30s	default
kv.allocator.min_lease_transfer_interval	1s	d	f	controls how frequently leases can be transferred for rebalancing. It does not prevent transferring leases in order to allow a replica to be removed from a range.	1s	default
kv.allocator.min_qps_difference_for_transfers	200	f	f	the minimum qps difference that must exist between any two stores for the allocator to allow a lease or replica transfer between them	200	default
kv.allocator.qps_rebalance_threshold	0.1	f	t	minimum fraction away from the mean a store's QPS (such as queries per second) can be before it is considered overfull or underfull	0.1	default
kv.allocator.range_rebalance_threshold	0.05	f	t	minimum fraction away from the mean a store's range count can be before it is considered overfull or underfull	0.05	default
kv.allocator.rebalance_to_max_disk_utilization_threshold	0.925	f	f	maximum disk utilization before a store will never be used as a rebalance target; this should be set lower than `kv.allocator.max_disk_utilization_threshold`	0.925	default
kv.allocator.recovery_store_selector	good	s	f	if set to 'good', the allocator may recover replicas to any valid store, if set to 'best' it will pick one of the most ideal stores	good	default
kv.allocator.replica_io_overload_threshold	0.3	f	f	the threshold store io overload at or above which the enforcement defined by `kv.allocator.io_overload_threshold_enforce` is taken on a store for allocation decisions	0.3	default
kv.allocator.replica_io_overload_threshold_enforcement	block_rebalance_to	e	f	the level of enforcement when a candidate store has an io overload score  exceeding `kv.allocator.io_overload_threshold` and above the average of comparable allocation candidates:`block_none` will exclude no candidate stores, `block_none_log` will exclude no candidates but log an event, `block_rebalance_to` will exclude candidates stores from being targets of rebalance actions, `block_all` will exclude candidate stores from being targets of both allocation and rebalancing [ignore = 0, block_rebalance_to = 1, block_all = 2]	block_rebalance_to	default
kv.allocator.store_cpu_rebalance_threshold	0.1	f	t	minimum fraction away from the mean a store's cpu usage can be before it is considered overfull or underfull	0.1	default
kv.bulk_ingest.batch_size	16 MiB	z	f	the maximum size of the payload in an AddSSTable request	16 MiB	default
kv.bulk_ingest.index_buffer_size	32 MiB	z	f	the initial size of the BulkAdder buffer handling secondary index imports	32 MiB	default
kv.bulk_ingest.max_index_buffer_size	512 MiB	z	f	the maximum size of the BulkAdder buffer handling secondary index imports	512 MiB	default
kv.bulk_ingest.max_pk_buffer_size	128 MiB	z	f	the maximum size of the BulkAdder buffer handling primary index imports	128 MiB	default
kv.bulk_ingest.pk_buffer_size	32 MiB	z	f	the initial size of the BulkAdder buffer handling primary index imports	32 MiB	default
kv.bulk_ingest.stream_external_ssts.enabled	true	b	f	if enabled, external SSTables are iterated directly in some cases, rather than being downloaded entirely first	true	default
kv.bulk_ingest.stream_external_ssts.suffix_cache_size	64 KiB	z	f	size of suffix of remote SSTs to download and cache before reading from remote stream	64 KiB	default
kv.bulk_io_write.concurrent_addsstable_as_writes_requests	9223372036854775807	i	f	number of concurrent AddSSTable requests ingested as writes per store before queueing	9223372036854775807	default
